JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458617.428,13.95,,,SI,LGIB,,000-BNC-522,,X24436ER,,0,,Z,14.01,,,SN 2019EIN,AAVSO,STD,,,,
2458617.55363,14.10,,,V,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458617.56773,14.00,,,R,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458617.58183,14.10,,,SG,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458617.59028,13.6,,,Vis.,DMIB,KZ,13.5,,Tycho2,,,,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458618.35347,13.9,,,CV,WKL,B,,,X24429HV,,0,,Z,14.1,14.3,,SN 2019EIN,BAV,STD,,,,
2458618.42917,13.8,,,Vis.,TYS,K,133,143,X24423KK,"""VISUAL FROM SLOOH DIGITAL IMAGE, TRI-G. MAGS FROM WIKISKY.""",,,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458618.51187,14.07,,,V,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458618.52597,13.97,,,R,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458618.54007,14.09,,,SG,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458618.57576,14.07,,,SR,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458619.345,14.34,,,SG,LGIB,,000-BNC-522,,X24436ER,,0,,Z,14.52,,,SN 2019EIN,AAVSO,STD,,,,
2458619.365,13.73,,,SR,LGIB,,000-BNC-522,,X24436ER,,0,,Z,14.15,,,SN 2019EIN,AAVSO,STD,,,,
2458619.380,13.90,,,SI,LGIB,,000-BNC-522,,X24436ER,,0,,Z,14.01,,,SN 2019EIN,AAVSO,STD,,,,
2458619.407,14.05,,,V,LGIB,,000-BNC-522,,X24436ER,,0,,Z,14.32,,,SN 2019EIN,AAVSO,STD,,,,
2458619.41589,14.00,,,V,MAND,,000-BNC-522,000-BNC-522,X24436ER,,0,,Z,14.323,14.323,,SN 2019EIN,AAVSO,STD,,,,
2458619.42574,14.058,0.034,,V,BDG,,ENSEMBLE,UCAC4 652-053507,AAVSO X24423IF,MEAN OF 5 OBS,0,1.021,Z,,15.842,,SN 2019EIN,BAA-VSS,STD,1,,,
2458619.435,13.92,,,R,LGIB,,000-BNC-522,,X24436ER,,0,,Z,13.96,,,SN 2019EIN,AAVSO,STD,,,,
2458619.50718,14.03,,,V,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458619.52127,13.94,,,R,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458619.53536,14.02,,,SG,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
